Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A1","ALS-PT19-315C/L177/TR8","XDCR_ALS-PT19-315C_L177_TR8",92.9067,-135.8392,0.0000,top
"C1","100n","C_0603_1608Metric",88.6395,-134.0866,-90.0000,bottom
"C2","100n","C_0603_1608Metric",93.1209,-92.2020,-90.0000,bottom
"C3","100n","C_0603_1608Metric",134.5692,-130.6830,90.0000,bottom
"C4","1u","C_0603_1608Metric",96.8248,-97.2058,90.0000,bottom
"C5","1u","C_0603_1608Metric",105.8418,-97.2058,90.0000,bottom
"C6","1u","C_0603_1608Metric",114.9858,-97.2058,90.0000,bottom
"C7","10u","C_0603_1608Metric",133.2992,-92.9640,-90.0000,bottom
"C8","1u","C_0603_1608Metric",124.1298,-97.2058,90.0000,bottom
"C9","1u","C_0603_1608Metric",133.2738,-97.2058,90.0000,bottom
"C10","100n","C_0603_1608Metric",126.3774,-135.3820,0.0000,bottom
"C11","1u","C_0603_1608Metric",126.3774,-133.8834,0.0000,bottom
"C12","100n","C_0603_1608Metric",135.4328,-148.3360,-90.0000,bottom
"C13","100n","C_0603_1608Metric",136.9568,-148.3360,-90.0000,bottom
"C14","27pf","C_0603_1608Metric",107.7214,-90.4240,90.0000,bottom
"C15","27pf","C_0603_1608Metric",113.5634,-90.5510,90.0000,bottom
"C16","100n","C_0603_1608Metric",136.1948,-146.0500,0.0000,bottom
"C17","100n","C_0603_1608Metric",103.8352,-93.5228,0.0000,bottom
"C18","100n","C_0603_1608Metric",103.8352,-87.6300,0.0000,bottom
"C19","10u","C_0603_1608Metric",103.8352,-89.1032,0.0000,bottom
"C20","1u","C_0603_1608Metric",100.1268,-135.8900,-90.0000,bottom
"C21","1u","C_0603_1608Metric",97.0788,-135.8900,-90.0000,bottom
"C22","100n","C_0603_1608Metric",90.2651,-135.8900,90.0000,bottom
"D1","WS2812B","SK6812-multi",92.3798,-97.2058,0.0000,bottom
"D2","WS2812B","SK6812-multi",101.2698,-97.2058,0.0000,bottom
"D3","WS2812B","SK6812-multi",110.5308,-97.2058,0.0000,bottom
"D4","WS2812B","SK6812-multi",119.6848,-97.2058,0.0000,bottom
"D5","WS2812B","SK6812-multi",128.8288,-97.2058,0.0000,bottom
"D6","1N5819WS","D_SOD-323",138.6840,-146.9136,90.0000,bottom
"J3","QWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",137.6172,-94.2340,-90.0000,bottom
"J4","socket-matching-battery-holder-plug","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",85.9630,-90.8950,180.0000,bottom
"Q1","2N7002","SOT-23",98.9584,-92.2020,180.0000,bottom
"Q2","DMG2305UX-7","SOT-23",90.4285,-92.2020,0.0000,bottom
"Q3","2N7002","SOT-23",129.8318,-134.8486,180.0000,bottom
"R1","1k","R_0603_1608Metric",96.1644,-92.2020,-90.0000,bottom
"R2","1k","R_0603_1608Metric",94.6449,-92.2020,90.0000,bottom
"R3","4k7","R_0603_1608Metric",136.1948,-100.3300,180.0000,bottom
"R4","4k7","R_0603_1608Metric",136.1948,-101.8286,180.0000,bottom
"R5","10k","R_0603_1608Metric",132.5242,-134.8740,90.0000,bottom
"R6","7.5","R_0603_1608Metric",126.3882,-136.8806,0.0000,bottom
"R7","10k","R_0603_1608Metric",117.9068,-93.5228,180.0000,bottom
"R8","10k","R_0603_1608Metric",138.7856,-150.9776,90.0000,bottom
"R10","10k","R_0603_1608Metric",103.8352,-90.5764,180.0000,bottom
"R11","1k","R_0603_1608Metric",110.6424,-93.2180,180.0000,bottom
"R12","10k","R_0603_1608Metric",103.8352,-92.0496,180.0000,bottom
"R13","10k","R_0603_1608Metric",136.1816,-103.9876,180.0000,bottom
"R14","10k","R_0603_1608Metric",136.1816,-105.4862,180.0000,bottom
"R15","10k","R_0603_1608Metric",98.6028,-135.8900,90.0000,bottom
"R16","10k","R_0603_1608Metric",136.1816,-106.9848,180.0000,bottom
"R17","1k","R_0603_1608Metric",95.5548,-135.8900,-90.0000,bottom
"R18","10k","R_0603_1608Metric",99.2124,-89.4080,180.0000,bottom
"R19","10k","R_0603_1608Metric",117.9068,-92.0242,180.0000,bottom
"R20","10k","R_0603_1608Metric",117.9068,-90.5256,180.0000,bottom
"SW1","PTS815_SJM_250_SMTR_LFS","PTS815 SJM 250 SMTR LFS",84.9204,-95.4024,90.0000,top
"SW2","JS202011SCQN","JS202011SCQN",92.4560,-95.4024,180.0000,top
"SW3","PTS815_SJM_250_SMTR_LFS","PTS815 SJM 250 SMTR LFS",94.8964,-168.7068,-10.0000,top
"SW4","PTS815_SJM_250_SMTR_LFS","PTS815 SJM 250 SMTR LFS",110.8964,-170.1668,0.0000,top
"SW5","PTS815_SJM_250_SMTR_LFS","PTS815 SJM 250 SMTR LFS",126.8964,-168.7068,10.0000,top
"U1","SHT30-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",86.0485,-134.0866,270.0000,top
"U2","Waveshare-RP2040-Plus","Waveshare-RP2040-Plus",107.2388,-114.9858,-90.0000,bottom
"U3","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",132.0800,-130.6068,0.0000,top
"U4","ER-TFT013-2","ER-TFT013-2",97.5558,-107.1560,0.0000,top
"U5","NT3H2211W0FHKH","IC_NT3H2211W0FHKH",136.1440,-151.1808,270.0000,top
"U7","ESP32-C3-MINI-1-A","ESP32-C3-MINI-1",110.8964,-91.4400,0.0000,top
"Y1","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",110.6424,-89.7890,0.0000,bottom
